run#	day	points nbr	morning	evening forseen	evening actual
59	2	46	06:20	17:52	17:50                                                                                                                                                                                                                                       
59	3	43	06:19	17:50	17:44                                                                                                                                                                                                                                       
59	4	41	06:16	17:52	17:37                                                                                                                                                                                                                                       
59	5	46	06:17	17:53	17:47                                                                                                                                                                                                                                       
59	6	46	06:14	17:52	17:44                                                                                                                                                                                                                                       
59	7	45	06:18	17:51	17:50                                                                                                                                                                                                                                       
60	1	46	06:14	17:53	17:44                                                                                                                                                                                                                                       
60	2	46	06:20	17:55	17:50                                                                                                                                                                                                                                       
60	3	46	06:18	17:52	17:48                                                                                                                                                                                                                                       
60	4	45	06:16	17:51	17:41                                                                                                                                                                                                                                       
60	5	46	06:17	17:55	17:47                                                                                                                                                                                                                                       
60	6	45	06:18	17:50	17:47                                                                                                                                                                                                                                       
